NO.;JUDUL BUKU;PENGARANG;PENERBIT;TEMPAT TERBIT;TAHUN;ISBN;JILID;EDISI;CET.;JUMLAH HAL.;RAK BUKU;JUMLAH BUKU;TINGGI BUKU             (cm);NOMOR PANGGIL;INISIAL;PEROLEHAN;HARGA;KET;;No. Induk
621;HUMANISME DAN PEMBARUAN PENEGAKAN HUKUM;Prof. Dr. INDRIYANTO SENO ADJI, S.H., M.H.;PENERBIT BUKU KOMPAS;Jakarta;2009;;;;;;6C;;;340.02;ABJ;;;;;
622;HURUF I;;;;;;;;;;;;;;;;;;;
623;Ikhtisar Ketentuan Pencegahan dan Pemberantasan Tindak Pidana Pencucian Uang dan Pendanaan Terorisme;Tim Penyusun PPATK;PPATK;Jakarta;2012;;;;2;;2G;5;;345;KEU;S;;ada;;
624;ILMU ALAMIAH DASAR;Ir. HARI PURNAMA;PT. Rineka Cipta;Jakarta;2003;;;;;;6A;;;500.1;PUR;;;;;
625;ILMU BUDAYA DASAR // MKDU;Drs. JOKO TRI PRASETYA, dkk.;PT. Rineka Cipta;Jakarta;2004;;;;;;7H;;;;;;;ada;;
626;ILMU KEDOKTERAN KEHAKIMAN // DALAM PERSPEKTIF PERADILAN DAN ASPEK HUKUM PRAKTIK KEDOKTERAN;WALUYADI, S.H.;DJAMBATAN;Jakarta;2000;;;;;;7H;;;;;;;ada;;
627;ILMU KESEHATAN MASYARAKAT;dr. INDAN ENTJANG;PT. Citra Aditya Bakti;Bandung;1991;;;;;;10E;;;610.7;ENT;;;ada;;
628;ILMU NEGARA // PENGEMBANGAN TEORI BERNEGARA DAN SUPLEMEN;HENDRA NURTJAHYO;PT. Rajagrafindo Persada;Jakarta;2005;979-769-016-4;;1.,;1.-;x, 204;3G;;21;320.1;NUR;B;;ada;;
629;Ilmu Perundang-undangan // Dasar-dasar Dan Pembentukannya;Maria Farida Indrati Soeprapto, S.H., M.H.;Penerbit Kanisius;Yogyakarta;2006;;;;;;5B;;;342.02;SOE;B;;ada;;
630;ILMU SOSIAL DASAR;Drs. H. ABU AHMADI;PT. Rineka Cipta;Jakarta;2003;;;;;;6A;;;301.2;;;;ada;;
631;IMAN & AMAL;H. DAHLAN AS. NATAPRAWIRA;CV. MULTI YASA & CO;Jakarta;1984;;;;;;7A;;;;;;;ada;;
632;Indeks Kepuasan Masyarakat (IKM) Terhadap Kinerja Bidang Tindak Pidana Umum, Pidana Khusus Dan Datun;Drs. Nandan Iskandar, Dra. Renny Ariyanny, S.H., M.H., LLM. , et. al.;Miswar;Jakarta;2014;;;;;;6B;;;340.1;DAR;s;;ada;;
633;INDONESIAN BUSINESS LAW;Prof. Mr. Dr. SUDARGO GAUTAMA;PT. Citra Aditya Bakti;Bandung;2002;979-414-715-X;;;2.-;800;1B;;21;346.7;GAU;s;;ada;;
634;INDONESIAN CIVIL CODE (KITAB UNDANG-UNDANG HUKUM PERDATA);"transalate : RANY MANGUNSONG, S.H. ; SITUMEANG & SITUMEANG LAW FIRM";PT. Gramedia Pustaka Utama;Jakarta;2004;;;;;;4C;2;;;;;;ada;;
635;Indonesia Darurat Narkoba;--;Badan Narkotika Nasional;Jakarta;2017;;;;;;7H;;;613.8;NAS;s;;ada;;
636;Indonesia Optimis;Denny Indrayana;PT. Bhuana Ilmu Populer;Jakarta;2011;;;;;;10B;1;;000;IND;s;;ada;;
637;INFORMASI BAGI PESERTA PAMERAN UNTUK MENINGKATKAN PERANANNYA DIBIDANG EKSPOR;DIREKTUR PEMBINAAN SARANA PERDAGANGAN;DEPARTEMEN PERDAGANGAN DAN KOPERASI;Jakarta;1983;;;;;;6C;;;346.7;DEP;;;;;
638;INFORMASI HUKUM DAN STATISTIK KRIMINAL // TOPIK : PASAR MODAL;PUSAT INFORMASI HUKUM DAN STATISTIK KRIMINAL;KEJAGUNG R.I.;Jakarta;1995;;;3.,;;iv, 249;1B;;20,5;346.7;KEJ;s;;ada;;
639;Instruksi Jaksa Agung R.I. Tahun 2020 No: INSJA-01, 02, 03, 04, 05, 06, 07, 08, 09, 10 dan 12;--;Kejaksaan R.I.;Jakarta;2020;;;;;;6J;;;348;AGU;dl;;ada;;
640;Instruksi Presiden No.1 Th. 1988 Tentang Tata Cara Pengadaan Barang Dan Jasa;--;ARMAS DUTA JAYA;Jakarta;1988;;;;;;5E;;;;;;;;;
641;Instruksi Presiden No.1 Th. 1988 Tentang Tata Cara Pengadaan Barang Dan Jasa, Keppres No.6 Th. 1988 Tentang Pencabutan Beberapa Ketentuan Mengenai Pengadaan Barang Dan Jasa // Dilengkapi Keppres No.29 Th. 1984;--;KLOANG KLEDE JAYA;Jakarta;1988;;;;;;5E;;;;;;;;;
642;INSTRUKSI PRESIDEN NO. 3 TAHUN 2006 TENTANG PAKET KEBIJAKAN PERBAIKAN IKLIM INVESTASI BESERTA 8 (DELAPAN) PERATURAN MENTERI PERDAGANGAN TAHUN 2006 TENTANG PENYEMPURNAAN DAN PENYEDERHANAAN PERIZINAN;--;CV. EKO JAYA;Jakarta;2006;;;;;;5C;2;;;;;;;;
643;INSTRUKSI PRESIDEN R.I. NO. 4 TAHUN 1985 // REKAMAN SITUASI DI SEKITAR INPRES NO. 4 TAHUN 1985 KUMPULAN PERATURAN-PERATURAN PELAKSANAANNYA DAN LAIN-LAIN;disusun oleh : R.B. SOEWONDO;CV. AKADEMIKA PRESSINDO;Jakarta;1985;;;;;;5E;;;;;;;;;
644;Instruksi Presiden R.I. No. 1 Tahun 2014 tentang Penanganan Gangguan Keamanan Dalam Negeri Tahun 2014;--;Sekretariat Kabinet R.I.;Jakarta;2014;;;;;;;;;348.02;;;;;;2662
645;Instruksi Presiden No. 6 Tahun 2014 tentang Peningkatan Daya Saing Nasional Dalam Rangka Menghadapi Masyarakat Ekonomi Association of Southeast Asian Nations;--;Sekretariat Kabinet R.I.;Jakarta;2014;;;;;;5I;;;348.02;;;;;;2663
646;Instruksi Presiden No.5 Tahun 2016 Tentang Pemberian Pengurangan Dan / Atau Keringanan Atau Pembebasan Pajak Bea Perolehan Hak Atas Tanah Dan Bangunan Rumah Umum Bagi Masyarakat Berpenghasilan Rendah;--;Kemenkum & HAM;Jakarta;2016;;;;;;5I;;;348.02;HAM;DL;;Ada;;
647;Instruksi Presiden RI No.8 Tahun 2016 Tentang Langkah-langkah Penghematan Belanja Kementerian / Lembaga Dalam Rangka Pelaksanaan Anggaran Pendapatan Dan Belanja Negara Perubahan TA 2016;--;Kemenkum & HAM;Jakarta;2016;;;;;;5I;;;348.02;HAM;DL;;Ada;;
648;Instruksi Presiden RI No.11 Tahun 2016 Tentang Langkah Pengendalian Transfer Ke Daerah Dan Dana Desa Dalam Rangka Pengamanan Pelaksanaan Anggaran Pendapatan Dan Belanja Negara Perubahan TA 2016;--;Kemenkum & HAM;Jakarta;2016;;;;;;5I;;;348.02;HAM;DL;;Ada;;
649;Instruksi Presiden No.2 Tahun 2017 Tentang Laporan Hasil Analisis Dan Laporan Hasil Pemeriksaan PPATK;--;Kemenkum & HAM;Jakarta;2017;;;;;;5I;;;348.02;HAM;DL;;Ada;;
650;Instruksi Presiden RI No.5 Tahun 2017 Tentang Percepatan Rehabilitasi Dan Rekonstruksi Pascabencana Gempa Bumi Di Kabupaten Pidie, Kabupaten Pidie Jaya, Kabupaten Bireuen Provinsi Aceh;--;Kemensetneg R.I.;Jakarta;2017;;;;;;5I;;;348.02;HAM;DL;;Ada;;
651;Inpres No.6 Tahun 2017 Tentang Penundaan Dan Penyempurnaan Tata Kelola Pemberian Izin Baru Alam Primer Dan Lahan Gambut;--;Kemensetneg R.I.;Jakarta;2017;;;;;;5I;;;348.02;HAM;DL;;Ada;;
652;IN SEARCH OF HUMAN RIGHTS // LEGAL~POLITICAL DILEMMAS OF INDONESIA'S NEW ORDER, 1966-1990;TODUNG MULYA LUBIS;PT. Gramedia Pustaka Utama;Jakarta;1993;;;;;;7C;;;;;;;;;
653;INSTRUMEN INTERNASIONAL POKOK HAK ASASI MANUSIA;--;YAYASAN OBOR INDONESIA;Jakarta;2006;;;;;;4E;;;;;;;;;
654;INTEGRASI NASIONAL, SUATU PENDEKATAN BUDAYA DI KALIMANTAN TENGAH;IKEL S. RUSAN, ULI H. SITORUS, et.  al.;KANWIL DEPDIKBUD KALTENG;Palangka Raya;1996;;;;;;5D;2;;;;;;;;
655;Intelijen Dalam Pusaran Demokrasi Di Indonesia Pasca Orde Baru;"Ikrar Nusa Bhakti ; dkk.";Penerbit Andi;Yogyakarta;2017;978-979-29-6328-1;;I.,;;;1B;1;23;327,12;NUS;S;;ada;;
656;INTISARI AQIDAH AHLUSSUNNAH;IMAM IBNU QUDAMAH AL-MAQDISI;KEDUBES SAUDI ARABIA;Jakarta;;;;;;;7A;;;;;;;;;
657;INTISARI HUKUM TATANEGARA PERBANDINGAN//KONSTITUSI SEMBILAN NEGARA;ABU DAUD BUSROH, S.H.;PT. BINA AKSARA;Jakarta;1987;;;;1.-;vii, 339;3G;;20,5;342;BUS;S;;ADA;;
658;INVENTARISASI DAN ANALISIS UNDANG-UNDANG LINGKUNGAN HIDUP (KHUSUSNYA KESEHATAN LINGKUNGAN HIDUP);EDITOR : Prof. Dr. SOERJONO SOEKANTO, S.H., M.A.;GHALIA INDONESIA;Jakarta;1987;;;;1.-;176;1G;;20,5;344.046;SOE;;;ADA;;
659;ISLAM AGAMA UNTUK HIDUP;Drs. H. EFFENDI ZARKASI;PT. HIDAKARYA AGUNG;Jakarta;1984;;;;;;7A;;;;;;;;;
660;ISLAM DI INDONESIA // SUATU IKHTIAR MENGACA DIRI;M. AMIEN RAIS, ed.;CV. RAJAWALI;Jakarta;1986;;;;;;7A;;;;;;;;;
661;ISLAM DI TENGAH PERTARUNGAN TRADISI;MUHAMMAD QUTHB;PENERBIT MIZAN;Bandung;1986;;;;;;7A;;;;;;;;;
662;ISTILAH HUKUM;M. HUTAURUK, S.H.;ERLANGGA;Jakarta;1987;;;;;;6E;;;;;;;;;
663;IZIN PEMERIKSAAN TERHADAP SAKSI/TERSANGKA PEJABAT NEGARA DALAM PENANGANAN PERKARA TINDAK PIDANA KORUPSI;NINIEK SUPARNI, S.H., M.H., ALBOIN PANGARIBUAN, S.H., M.H., SOERYANIATI KOESOEMO, S.H., dkk.;PUSLITBANG KEJAGUNG R.I.;Jakarta;2011;;;;;;6A;;;345.07;;;;;;
664;HURUF J;;;;;;;;;;;;;;;;;;;
665;JAHE GAJAH;Ir. HIERONYMUS BUDI SANTOSO;PENERBIT KANISIUS;Yogyakarta;2005;;;;;;10E;;;;;;;;;
666;JAKSA SAHABAT MASYARAKAT, SUATU HARAPAN // KUMPULAN MAKALAH JAKSA AGUNG R.I. TAHUN 2013;BASRIEF ARIEF;GAUNG PERSADA PRESS;Jakarta;2013;;2;;1.-;;5B;2;;;;;;;;
667;Jalan Lurus Penanganan Penyalah Guna Narkotika Dalam Konstruksi Hukum Positif;Dr. Anang Iskandar, S.IK, S.H., M.H.;Tanpas Communications;Karawang;2015;;;;;;7H;;;598.00;ISK;;;;;koleksi terbaru
668;JAMUR MERANG // SERI INDUSTRI PERTANIAN;SOEDJONO;PT. REMAJA ROSDAKARYA;Bandung;1992;;;;;;10A;;;;;;;;;
669;JURIMETRIE // SUATU CARA BERFIKIR DAN BERBUAT DALAM HUKUM;Prof. Mr. ROESLAN SALEH;AKSARA BARU;Jakarta;1979;;;;;;7A;;;;;;;;;
670;JURNAL BINA ADHYAKSA // VOL. 3;;PUSLITBANG KEJAGUNG R.I.;Jakarta;2012;;;;;;6A;;;340.02;;;;;;
671;JURNAL BINA ADHYAKSA // VOL. V;;PUSLITBANG KEJAGUNG R.I.;Jakarta;2012;;;;;;6A;;;340.02;;;;;;
672;JURNAL BINA ADHYAKSA // VOL. VI;;PUSLITBANG KEJAGUNG R.I.;Jakarta;2012;;;;;;6A;;;340.02;;;;;;
673;Jurnal Bina Adhyaksa Vol.3 No.2;;Puslitbang Kejagung;Jakarta;2013;;;;;;;;;788.1;;;;;;
674;Jurnal Bina Adhyaksa Vol.4 No.2;;Puslitbang Kejagung;Jakarta;2014;;;;;;;;;788.1;;;;;;
675;Jurnal Bina Adhyaksa Vol.4 No.3;;Puslitbang Kejagung;Jakarta;2014;;;;;;;;;788.1;;;;;;
676;Jurnal Bina Adhyaksa Vol.5 No.2;;Puslitbang Kejagung;Jakarta;2015;;;;;;;3;;788.1;;;;;;
677;Jurnal Bina Adhyaksa Vol.5 No.3;;Puslitbang Kejagung;Jakarta;2015;;;;;;;;;788.1;;;;;;
678;Jurnal Bina Adhyaksa Vol.6 No.1;;Puslitbang Kejagung;Jakarta;2015;;;;;;;;;788.1;;;;;;
679;Jurnal Bina Adhyaksa Vol.6 No.2;;Puslitbang Kejagung;Jakarta;2016;;;;;;;;;788.1;;;;;;
680;Jurnal Hukum Ishlah | No.23 Tahun XIV;--;FH - UMI;Makassar;2009;1410-9328;;;;;8A;;;16;;S;;Ada;;
681;HURUF K;;;;;;;;;;;;;;;;;;;
682;KACANG PANJANG;H. RAHMAT RUKMANA;PENERBIT KANISIUS;Yogyakarta;2005;;;;;;10E;;;;;;;;;
683;KACANG TANAH;AAK;PENERBIT KANISIUS;Yogyakarta;2005;;;;;;10E;;;;;;;;;
684;KAIDAH-KAIDAH HUKUM PERDAGANGAN INTERNASIONAL (PERDAGANGAN MULTILATERAL) VERSI ORAGNISASI PERDAGANGAN DUNIA (WORLD TRADE ORGANIZATION=WTO);Prof. Dr. SOEDJONO DIRDJOSISWORO, S.H., MM.;CV. UTOMO;Bandung;2004;979-3451-05-X;;;1.-;vii, 464;3F;;24;338.91;DIR;S;;ADA;;
685;KAIDAH-KAIDAH HUKUM YURISPRUDENSI;"Drs. H. AHMAD KAMIL, S.H., M.HUM.; Drs. M. FAUZAN, S.H.";Kencana;Jakarta;2008;979-3465-61-1;;1.,;3.-;xiv, 247;2D;;20,5;340.1;KAM;;;ADA;;
686;KAMAR ANAK DAN REMAJA // SERI MENATA RUMAH;IMELDA SANDJAYA , foto : SONNY SANDJAYA;PT. Gramedia Pustaka Utama;Jakarta;2004;;;;;;10A;;;;;;;;;
687;KAMAR MANDI // SERI SENI TATA RUANG;SUHARSO, ASP;PENERBIT KANISIUS;Yogyakarta;2004;;;;;;10A;;;;;;;;;
688;KAMAR TIDUR PILIHAN // SERI INTERIOR PILIHAN IMELDA AKMAL;IMELDA AKMAL ARCHITECTURE WRITER;PT. Gramedia Pustaka Utama;Jakarta;2005;;;;;;10A;2;;;;;;;;
689;KAMAR TIDUR // SERI MENATA RUMAH;"IMELDA SANDJAYA ; FOTO : SONNY SANDJAYA";PT. Gramedia Pustaka Utama;Jakarta;2004;;;;;;10A;;;;;;;;;
690;KAMUS BESAR BAHASA INDONESIA;PUSAT BAHASA DEPARTEMEN PENDIDIKAN NASIONAL;BALAI PUSTAKA;Jakarta;2007;979-407-182-X;;3.,;4.-;1386;1C;;25;4.99.221;NAS;B;;ADA;;
691;KAMUS BESAR BAHASA INDONESIA PUSAT BAHASA;DEPARTEMEN PENDIDIKAN NASIONAL;BALAI PUSTAKA;Jakarta;2008;978-979-22-3841-9;;4.,;1.-;1701;1C;;25,5;803;NAS;B;;ADA;;
692;KAMUS HUKUM;J.C.T. SIMORANGKIR, S.H. , Drs. RUDY T. ERWIN, S.H. , J.T. PRASETYO, S.H.;Sinar Grafika;Jakarta;2000;979-8767-61-6;;;6,-;vi + 193;1C;;;603,34;SIM;;;;;
693;KAMUS HUKUM (EDISI BARU);Drs. SUDARSONO, S.H., M.Si.;RINEKA CIPTA;Jakarta;2005;979-518-251-X;;;4.-;620;1C;5;23,5;803;SUD;B;180.725;ADA;;
694;KAMUS HUKUM (EDISI LENGKAP) BAHASA : BELANDA-INDONESIA-INGGRIS;YAN PRAMADYA PUSPA;CV. ANEKA ILMU;Semarang;2008;978-979-736-904-0;;;;628;1C;;21;803;PUS;S;;ADA;;
695;KAMUS ILMIAH POPULER EDISI LENGKAP (REFERENSI ILMIAH, IDEOLOGI, POLITIK, HUKUM, EKONOMI, SOSIAL, BUDAYA & SAINS);TIM PRIMA PENA;GITAMEDIA PRESS;Surabaya;2006;979-782-124-2;;;1.-;512;1C;;16,5;805;PEN;B;180.000;ADA;;
696;KAMUS ISTILAH AKUNTANSI SYARIAH;IVAN RAHMAWAN A.;PILAR MEDIA;Yogyakarta;2005;979-98878-9-5;;;1.-;368;1C;;20;803.292.861;RAH;B;155.000;ADA;;
697;KAMUS ISTILAH KARYA TULIS ILMIAH;Prof. KOMARUDDIN - Dra. YOOKE TJUPARMAH S. KOMARUDDIN, M.Pd.;PT. BUMI AKSARA;Jakarta;2000;979-526-545-8;;;1.-;305;1C;;23;803;KOM;B;;ADA;;
698;KAMUS ISTILAH KEDOKTERAN;dr. DIFA DANIS;GITAMEDIA PRESS;Surabaya;;;;;;672;1C;;23;603.610;DAN;B;185.000;ADA;;
699;KAMUS ISTILAH MENURUT PERATURAN PERUNDANG-UNDANGAN REPUBLIK INDONESIA 1945-2007 (EDISI BARU);TIM REDAKSI TATA NUSA;PT. TATANUSA;Jakarta;2008;978-979-3999-38-8;;;;840;1C;;24,5;803;NUS;B;207.000;ADA;;
700;"KAMUS LENGKAP INGGRIS-INDONESIA; INDONESIA-INGGRIS (DENGAN EJAAN YANG DISEMPURNAKAN)";Prof. Drs. S. WOJOWASITO - Drs. TITO WASITO W.;HASTA;Bandung;1983;;;;15.-;648;1C;;20;803;WOJ;;;ADA;;
701;KAMUS UMUM BAHASA INDONESIA;W.J.S. POERWADARMINTA;PT. (Persero) BALAI PUSTAKA;Jakarta;1999;979-666-291-4;;;16.-;1156;1C;;21;413;POE;B;;ADA;;
702;KAMUS UMUM BELANDA-INDONESIA;Prof. Drs. S. WOJOWASITO;PT. ICHTIAR BARU VAN HOEVE;Jakarta;2000;979-8276-02-7;;;;848;1C;;19;439.313;WOJ;B;;ADA;;
703;KAMUS UMUM (KHUSUSNYA BIDANG HUKUM & POLITIK);H. ZAINUL BAHRY, S.H.;ANGKASA;Bandung;1996;979-547-994-6;;;1.-;374;1C;;23,5;603.340;BAH;B;;ADA;;
704;KAPITA SELEKTA HUKUM EKONOMI;Prof. Dr. SRI REDJEKI HARTONO, S.H.;CV. MANDAR MAJU;Bandung;2000;;;;;;6A;;;330;;;;;;
705;KAPITA SELEKTA HUKUM PIDANA;Dr. BAMBANG POERNOMO, S.H.;LIBERTY;Yogyakarta;1988;;;1.,;1.-;207;2A;2;21;345;POE;B;7.000;ADA;;
706;KAPITA SELEKTA HUKUM PIDANA;Prof. Dr. BARDA NAWAWI ARIEF, S.H.;PT. Citra Aditya Bakti;Bandung;2010;978-979-414-884-6;;;2.-;338;2A;;21;345;ARI;;;ADA;;
707;KAPITA SELEKTA HUKUM PIDANA;Prof. SUDARTO, S.H.;PT. ALUMNI;Bandung;1986;979-414-063-5;;;2.-;158;2A;;20,5;345;SUD;;;ADA;;
708;KAPITA SELEKTA HUKUM PIDANA;Prof. SUDARTO, S.H.;PT. ALUMNI;Bandung;2010;979-414-063-5;;;4.-;158;2A;;20,5;345;SUD;S;;ADA;;
709;KASASI DALAM PERKARA PERDATA;SOEDIRJO, S.H.;CV. AKADEMIKA PRESSINDO;Jakarta;1985;;;1.,;2.-;xiv, 373;3D;;20,5;346;SOE;;;ADA;;
710;KASASI DALAM PERKARA PIDANA (SIFAT DAN FUNGSI);SOEDIRJO, S.H.;CV. AKADEMIKA PRESSINDO;Jakarta;1984;;;2.,;;213;2A;2;20,5;347.01;SOE;;;ADA;;
711;KATAKAN TIDAK PADA NARKOBA;YUSUF APANDI;SIMBIOSA REKATAMA MEDIA;Bandung;2010;;;;;;7H;;;;;;;;;
712;KEADILAN HUKUM DALAM BERBAGAI ASPEK HUKUM NASIONAL;BISMAR SIREGAR, S.H.;CV. RAJAWALI;Jakarta;1986;;;;;;6E;;;;;;;;;
713;Keadilan Transisional / Sebuah Tinjauan Komprehensif;Ruti G. Teitel;ELSAM;Jakarta;2004;;;;1,-;;10B;1;;016.34;TEI;s;;ada;;
714;KEBERADAAN KOMISI PEMBERANTASAN KORUPSI DALAM PENEGAKAN HUKUM DI INDONESIA;Dr. TUMBUR OMPU SUNGGU, S.H., M.H.;TOTAL MEDIA;Yogyakarta;2012;978-979-15913-4-8;;;1.-;xvi, 260;2B;;23;345.001;SUN;S;;ada;;
715;Keberadaan Satuan Tugas (SATGAS) Saber Pungli Dalam Upaya Pemberantasan Pungutan Liar;Niniek Suparni, S.H.,M.H., Sri Humana L, S.Sos., Souryaniati Koesoemo, S.H., dkk.;Puslitbang Kejagung;Jakarta;2018;;;;;;6B;;;741;SUP;S;;ada;;
716;KEBIJAKAN PERTANAHAN//ANTARA REGULASI & IMPLEMENTASI;Prof. Dr. MARIA S.W. SUMARDJONO, S.H., MCL., MPA.;PENERBIT BUKU KOMPAS;Jakarta;2001;979-9251-84-2;;;1,-;xii, 216;3E;;21;346.43;SUM;B;;ada;;
717;KEBIJAKSANAAN HAKIM;W. VAN GERVEN;ERLANGGA;Jakarta;1990;;;;;;6C;;;341;GER;;;ada;;
718;Kebijakan Mutasi Dan Rotasi Pegawai Kejaksaan Dikaitkan Dengan Reformasi Birokrasi;"Hendi Suhendi, S.H. ; Sri Humana L., S.Sos.";Miswar;Jakarta;2014;;;;;;6B;2;;353.01;SUH;s;;ada;;
719;KEBIJAKSANAAN PEMERINTAH DI BIDANG TATA NIAGA CENGKEH HASIL PRODUKSI DALAM NEGERI;DIRJEN PERDAGANGAN DALAM NEGERI;DEPARTEMEN PERDAGANGAN;Jakarta;1991;;1;;;153;1B;;24;336.1;NEG;;;ada;;
720;KECANTIKAN, KOSMETIKA & ESTETIKA // PEDOMAN INSTRUKSIONAL PROGRAM CIDESCO INTERNASIONAL;Dr. RACHMI PRIMADIATI;PT. Gramedia Pustaka Utama;Jakarta;2001;;;;;;10C;;;;;;;ada;;
721;Kedaulatan Negara Di Ruang Udara;H. Priyatna Abdurrasyid;PT. Fikahati Aneska;Jakarta;2003;;;;;;5D;;;340;ABD;S;;ada;;
722;KEDUDUKAN HUKUM WANITA INDONESIA DAN PERKEMBANGANNJA DI HINDIA BELANDA;F.D. HOLLEMAN;BHRATARA;Jakarta;1971;;;;;95;1B;;21;341;HOL;;;ada;;
723;KEDUDUKAN KEWENANGAN DAN ACARA PERADILAN AGAMA // UU No. 7 TAHUN 1989;M. YAHYA HARAHAP, S.H.;Sinar Grafika;Jakarta;2003;978-8767-79-9;;2.,;2,-;374;1E;;23;344;HAR;;;ada;;
724;KEDUDUKAN KEWENANGAN DAN ACARA PERADILAN AGAMA // UU No. 7 TAHUN 1989;M. YAHYA HARAHAP, S.H.;Sinar Grafika;Jakarta;2007;978-8767-79-9;;2.,;4.-;374;1E;;23;344;HAR;;;ada;;
725;KEDUDUKAN PERUSAHAAN SEBAGAI SUBJEK DALAM GUGATAN PERDATA DI PENGADILAN;GATOT SUPRAMONO, S.H., M.Hum.;RINEKA CIPTA;Jakarta;2007;978-979-518-883-4;;;1.-;viii, 192;3E;3;20,5;346.066;SUP;;;ada;;
726;KEJAHATAN & PENEGAKAN HUKUM DI INDONESIA;SOEJONO, S.H., M.H.;RINEKA CIPTA;Jakarta;1996;979-518-637-X;;;1.-;viii, 117;2E;;20;345.598;SOE;S;;ada;;
727;KEJAHATAN DI BIDANG KOMPUTER;WIDYOPRAMONO, S.H.;PUSTAKA SINAR HARAPAN;Jakarta;1994;979-416-277-9;;;1.-;140;1D;;20,5;345.364.168;WID;B;;ada;;
728;KEJAHATAN-KEJAHATAN TERHADAP KETERTIBAN UMUM (OPEN BARE ORDE);Prof. MOELJATNO, S.H.;PT. BINA AKSARA;Jakarta;1984;;;;2.-;147;2C;;20,5;345.05;MOE;;;;;
729;KEJAHATAN KORPORASI;H. SETIYONO, S.H., M.H.;BAYUMEDIA PUBLISHING;Malang;2004;979-3323-43-4;;2.,;2.-;xii, 149;2D;;22,5;345;SET;S;;ADA;;
730;KEJAHATAN KORPORASI PERBANKAN (TINJAUAN YURIDIS);ROBINTAN SULAIMAN, S.H., M.H., M.A., M.M.;PUSAT STUDI HUKUM BISNIS - FH. UNIV. PELITA HARAPAN;Jakarta;2000;979-9170-03-6;;;1.-;xviii, 109;7E;;21;346.074;SUL;B;;ADA;;
731;KEJAHATAN KORPORASI YANG MENGERIKAN;SINGGIH, S.H.;PUSAT STUDI HUKUM BISNIS - FH. UNIV. PELITA HARAPAN;Jakarta;2005;979-96948-1-7;;;;189;3E;;21;345;SIN;B;145.000;ADA;;
732;KEJAHATAN KORUPSI DAN PENEGAKAN HUKUM;Prof. Dr. BAHARUDDIN LOPA, S.H.;PENERBIT BUKU KOMPAS;Jakarta;2002;979-709-001-9;;;2.-;xxx, 192;2B;;21;364.3;LOP;;;ADA;;
733;KEJAHATAN, PENGADILAN DAN HUKUM PIDANA;WALUYADI, S.H., M.H.;CV. MANDAR MAJU;Bandung;2009;978-979-538-324-6;;;1.-;157;2A;;21;345.01.07;WAL;S;;ADA;;
734;Kejahatan Perdagangan Wanita Dihubungkan Dengan Pelanggaran HAM;"Dra. Renny Ariyanny, S.H., L.L.M. ; J. Aminullah Alwahdy, S.H. ; dkk.";Miswar;Jakarta;2015;978-602-7744-88-2;;;;158;6A;3;21;323.24;ARI;S;;Ada;;
735;KEJAHATAN TERHADAP HARTA BENDA;Drs. ADAMI CHAZAWI, S.H.;BAYUMEDIA;Malang;2004;979-3323-26-4;;;3.-;x, 246;2C;;22,5;345.6;CHA;S;;ada;;
736;KEJAHATAN TERHADAP KEAMANAN & KESELAMATAN NEGARA;Drs. ADAMI CHAZAWI, S.H.;PT. Rajagrafindo Persada;Jakarta;2002;979-421-896-0;;1.,;1.-;235;2A;;20,5;355;CHA;;;ada;;
737;KEJAHATAN TERHADAP KESUSILAAN DAN MASALAH PREVENSINYA;LEDEN MARPAUNG, S.H.;Sinar Grafika;Jakarta;2004;979-8767-21-7;;;2.-;x, 130;2C;;20,5;345;MAR;S;;ada;;
738;KEJAHATAN TERHADAP KESUSILAAN DAN MASALAH PREVENSINYA;LEDEN MARPAUNG, S.H.;Sinar Grafika;Jakarta;2008;979-8767-21-7;;;3.-;x, 130;2C;;20,5;345;MAR;;;ada;;
739;KEJAHATAN TERHADAP PERBANKAN;LEDEN MARPAUNG, S.H.;ERLANGGA;Jakarta;1996;;;;2.-;viii, 160;2E;;24;345;MAR;B;;ada;;
740;KEJAHATAN TERHADAP TUBUH & NYAWA;Drs. ADAMI CHAZAWI, S.H.;PT. Rajagrafindo Persada;Jakarta;2007;979-421-498-0;;;4.-;xiv, 168;2E;;21;364.152.3;CHA;;;ada;;
741;Kejaksaan Memberantas Korupsi / Suatu Analisis Historis, Sosiologis, dan Yuridis;Dr. Chaerul Amir, S.H., M.H.;Pro Ideleader;Jakarta;2014;978-602-70327-0-5;;;1.-;;6B;2;;347.102;AMI;s;;ada;;
742;Kejaksaan R.I. // Posisi Dan Fungsinya Dari Perspektif Hukum;Dr. Marwan Effendy, S.H.;PT. Gramedia Pustaka Utama;Jakarta;2005;;;;1.-;;6B;2;;340;EFF;s;;ada;;
743;Kejaksaan Selaku Eksekutor Putusan Pengadilan Dikaitkan Dengan Posisi Lembaga Pemasyarakatan;Rr. Yuniarti Sasongko, S.H., dkk.;Puslitbang Kejagung R.I.;Jakarta;2014;978-602-7744-71-4;;;;vi + 118;6B;1;;345;SAS;s;;ada;;
744;Kejaksaan dan penyelesaian konflik agraria : Mencari keadilan di Tengah sengketa lahan;Dr.Rudi Margono,SH.MH;Yayasan Putra Adi Dharma;Yogyakarta;2025;978-6347082-49-7;;;;;3E;1;;345.01;MAR;s;;ada;;
